observation_date,year,quarter,unemBen_thousands
4/1/2000,2000,2,2467600
7/1/2000,2000,3,2314236
10/1/2000,2000,4,2347516
1/1/2001,2001,1,2723652
4/1/2001,2001,2,3041124
7/1/2001,2001,3,3595740
10/1/2001,2001,4,4261260
1/1/2002,2002,1,4881220
4/1/2002,2002,2,6763144
7/1/2002,2002,3,8499004
10/1/2002,2002,4,8266364
1/1/2003,2003,1,7008840
4/1/2003,2003,2,7492476
7/1/2003,2003,3,7102964
10/1/2003,2003,4,7085000
1/1/2004,2004,1,5806764
4/1/2004,2004,2,5011176
7/1/2004,2004,3,4856604
10/1/2004,2004,4,4651116
1/1/2005,2005,1,4623540
4/1/2005,2005,2,4351244
7/1/2005,2005,3,4373780
10/1/2005,2005,4,4267776
1/1/2006,2006,1,4208672
4/1/2006,2006,2,4181528
7/1/2006,2006,3,4182016
10/1/2006,2006,4,4344516
1/1/2007,2007,1,4712356
4/1/2007,2007,2,4735872
7/1/2007,2007,3,4940752
10/1/2007,2007,4,5246592
1/1/2008,2008,1,5685784
4/1/2008,2008,2,6031028
7/1/2008,2008,3,8807940
10/1/2008,2008,4,10756736
1/1/2009,2009,1,14868512
4/1/2009,2009,2,18639468
7/1/2009,2009,3,20663116
10/1/2009,2009,4,21429552
1/1/2010,2010,1,23655184
4/1/2010,2010,2,23131436
7/1/2010,2010,3,20845532
10/1/2010,2010,4,19864932
1/1/2011,2011,1,18585844
4/1/2011,2011,2,17683672
7/1/2011,2011,3,16680316
10/1/2011,2011,4,15945140
1/1/2012,2012,1,15216816
4/1/2012,2012,2,14019900
7/1/2012,2012,3,12646952
10/1/2012,2012,4,12365720
1/1/2013,2013,1,11457756
4/1/2013,2013,2,11022280
7/1/2013,2013,3,10038516
10/1/2013,2013,4,9450604
1/1/2014,2014,1,6729064
4/1/2014,2014,2,5881900
7/1/2014,2014,3,5604904
10/1/2014,2014,4,5420436
1/1/2015,2015,1,5322032
4/1/2015,2015,2,5163528
7/1/2015,2015,3,5140140
10/1/2015,2015,4,5119944
1/1/2016,2016,1,5183816
4/1/2016,2016,2,5141064
7/1/2016,2016,3,5213872
10/1/2016,2016,4,5228764
1/1/2017,2017,1,5480080
4/1/2017,2017,2,5220076
7/1/2017,2017,3,5156216
10/1/2017,2017,4,5183340
1/1/2018,2018,1,5306164
4/1/2018,2018,2,4870292
7/1/2018,2018,3,4545100
10/1/2018,2018,4,4890132
1/1/2019,2019,1,5468236
4/1/2019,2019,2,4937576
7/1/2019,2019,3,4358576
10/1/2019,2019,4,4716924
1/1/2020,2020,1,7592760
4/1/2020,2020,2,150039808
7/1/2020,2020,3,198756348
10/1/2020,2020,4,70548284
1/1/2021,2021,1,116663472
4/1/2021,2021,2,91879856
7/1/2021,2021,3,64618980
10/1/2021,2021,4,7573312
1/1/2022,2022,1,5392860
4/1/2022,2022,2,4232488
7/1/2022,2022,3,3828240
10/1/2022,2022,4,4467360
1/1/2023,2023,1,4687005
4/1/2023,2023,2,5158318
