year,quarter,agg_level,State,MHire,MSep,MJobStart,MJobEnd,EEHire,EESep,AQHire,AQSep,J2JHire,J2JSep,NEHire,ENSep,NEPersist,ENPersist,NEFullQ,ENFullQ,MainB,MainE,EESepS,EEHireS,AQSepS,AQHireS,NEPersistS,ENPersistS,JobStayS,MainBS,MainES,NEHireSEarn_Dest,ENSepSEarn_Orig,JobStaySEarn_Orig,JobStaySEarn_Dest,EESepSEarn_Orig,EEHireSEarn_Dest,AQSepSEarn_Orig,AQHireSEarn_Dest
2000,2,1025,1,1989515,1683131,2105801,1841690,629120,625358,,270950,,896308,1252641,992356,,721405,,639445,12804320,13061596,,,,,,,,,11254536,,,,,,,,
2000,3,1025,1,1923798,1800785,2044194,1962895,650838,650778,270646,262928,921484,913706,1162956,1080846,892310,817918,790745,728004,13065023,13136780,337135,338814,117021,,569932,482656,9819247,11075259,11374537,6141,6923,11482,11970,8640,10066,7717,
2000,4,1025,1,1733314,1757694,1854648,1903785,575457,572172,263221,272287,838678,844459,1062493,1116649,799273,844362,695776,767113,13139218,13081406,296315,297607,126503,117376,538202,539189,9949535,11215854,11520544,5414,8381,11743,12578,9126,10051,10033,8423
2001,1,1025,1,1645403,1554863,1758487,1702257,506709,507559,271339,252504,778048,760064,1042593,985225,771255,732721,678820,651299,13076269,13124913,267816,267840,112148,125412,507367,483628,10188883,11345582,11410219,5974,8162,12355,12491,9793,10125,8955,10005
2001,2,1025,1,1800853,1710305,1922453,1856999,529429,532749,250201,264653,779630,797402,1176854,1107384,926653,842731,843693,755260,13131409,13189191,277841,275984,130331,111266,571879,593220,10167029,11486331,11440714,5747,9208,12281,11619,9402,9300,8956,8550
2001,3,1025,1,1689880,1742764,1811231,1888302,517818,521407,260636,241392,778455,762799,1079437,1151594,818801,910202,726850,821841,13191935,13107273,268016,265840,112870,128117,529439,573186,10147150,11391398,11423472,5784,7559,11581,11383,8673,9347,8375,8652
2001,4,1025,1,1485316,1678532,1604850,1809409,430839,430934,239910,254345,670749,685279,974004,1180562,734094,926217,644700,853830,13114000,12898282,223245,222023,123927,111539,508079,627269,10176489,11424297,11498632,5498,7844,11213,12335,8705,8964,10865,7714
2002,1,1025,1,1464379,1394878,1572651,1528045,385659,385597,253025,219191,638684,604788,994695,951876,741670,732686,657720,664826,12900549,12938934,203750,203749,100573,122433,497586,514333,10345923,11416536,11414177,5860,8022,12130,12079,9598,9384,8795,9747
2002,2,1025,1,1683414,1519738,1797993,1660544,442635,443004,218404,225894,661039,668898,1151326,1014044,932922,788150,854025,714890,12939659,13071411,231077,230968,111700,100005,584296,566685,10286023,11476062,11455458,5818,7486,11986,11618,8678,9160,8442,8367
2002,3,1025,1,1631019,1610375,1746821,1753405,475942,478297,224352,219059,700294,697355,1064136,1067566,839784,848507,752854,769165,13072753,13059135,245581,244335,102333,110997,541099,537709,10230728,11389994,11470984,5981,7189,11592,11505,8505,9466,8069,8566
2002,4,1025,1,1482306,1585570,1598892,1716181,407782,406897,219211,234111,626993,641008,994467,1113966,775256,879856,687358,814878,13061558,12945598,210246,209891,114687,102243,538068,585444,10269552,11429555,11597594,5612,7431,11377,12502,8431,8933,10312,7795
2003,1,1025,1,1423986,1342079,1530803,1478873,369748,369928,233334,200264,603082,570192,968619,917880,735285,717616,654782,656048,12946637,12993360,197107,196790,89810,113425,504068,494317,10439302,11465116,11541223,5906,7835,12321,12253,9384,9575,8771,9306
2003,2,1025,1,1566923,1447522,1681295,1587439,406049,408279,198182,215797,604231,624076,1074931,978339,876749,762542,804532,692606,12994445,13083334,216161,215100,107459,88870,552405,553548,10422592,11570147,11526276,6014,7279,12158,11959,8850,9451,8253,8435
2003,3,1025,1,1585398,1550619,1700222,1693963,447976,450747,213513,216155,661489,666902,1047306,1037446,833794,821291,752963,745856,13085719,13082651,238007,235856,99903,106212,542416,536437,10370748,11518505,11553884,6020,8739,11850,11920,8633,9839,7879,8570
2003,4,1025,1,1505179,1530393,1623624,1674603,409755,409529,215373,225359,625128,634888,1004819,1057251,789446,831893,699503,769320,13085980,13036346,210199,208929,108953,98733,531107,558655,10358112,11500778,11664569,5517,7455,11830,12964,8756,9198,10035,7669
2004,1,1025,1,1424195,1371871,1540641,1510966,387520,395181,215305,225480,602825,620661,951902,914982,736597,689502,655831,623017,13039023,13059952,209894,205702,98662,103386,500617,458708,10511222,11533552,11589800,7569,7748,12790,12819,9577,9891,8768,10105
2004,2,1025,1,1702354,1471379,1820581,1624724,452371,455906,220025,225019,672396,680925,1154159,953835,934134,728816,854372,660741,13060143,13256190,246090,241654,113394,96006,593528,526964,10461871,11636494,11660108,6264,7393,12720,12343,8982,9909,8293,8517
2004,3,1025,1,1645521,1596685,1768240,1752706,493030,501162,220157,226896,713187,728058,1054317,1029203,834161,802307,747229,728132,13258117,13272906,268329,262334,106274,109302,548124,507027,10395011,11555359,11700583,6369,7296,12385,12497,9071,10619,8236,9236
2004,4,1025,1,1533463,1574035,1656905,1717913,447501,453528,221139,231809,668641,685337,999940,1053753,778801,821944,690429,762754,13274257,13214003,244995,240337,111329,102521,542281,555924,10447781,11629150,11866880,5451,7567,12374,13928,9180,9658,9910,7956
