year,quarter,agg_level,State,MHire,MSep,MJobStart,MJobEnd,EEHire,EESep,AQHire,AQSep,J2JHire,J2JSep,NEHire,ENSep,NEPersist,ENPersist,NEFullQ,ENFullQ,MainB,MainE,EESepS,EEHireS,AQSepS,AQHireS,NEPersistS,ENPersistS,JobStayS,MainBS,MainES,NEHireSEarn_Dest,ENSepSEarn_Orig,JobStaySEarn_Orig,JobStaySEarn_Dest,EESepSEarn_Orig,EEHireSEarn_Dest,AQSepSEarn_Orig,AQHireSEarn_Dest
2000,2,1025,2,1299974,1173336,1353853,1251214,456251,456277,,210090,,666367,786621,683418,,473328,,406562,8080352,8177393,,,,,,,,,6903193,,,,,,,,
2000,3,1025,2,1309852,1270078,1370220,1349283,497318,497354,208989,192012,706307,689367,754498,733339,545509,541326,467572,472790,8178794,8193130,253809,255002,76070,,350850,294332,6056780,6879635,7103729,5482,6266,9892,10090,7521,8476,6939,
2000,4,1025,2,1113851,1088164,1171571,1157283,396327,392390,193090,201968,589417,594358,671102,661487,478012,459519,404223,399630,8194009,8207238,185866,186935,89660,76311,304632,278889,6157634,6884995,7124646,5185,6812,9915,10931,8103,8855,8940,7451
2001,1,1025,2,1158096,1080084,1212168,1150219,401901,401757,204598,184545,606499,586302,707644,646037,503046,461492,432126,388813,8208364,8267772,200022,200406,75736,89845,309902,296116,6336539,7095295,7092940,5361,7312,10714,10776,8358,8889,7508,9197
2001,2,1025,2,1207186,1172023,1263925,1246014,405987,407137,183764,205198,589751,612335,750090,730190,566326,524992,499699,454688,8264823,8282363,194388,195155,93810,75967,310784,343125,6279969,7108534,7048806,5239,6709,10735,10149,8144,8390,7549,7299
2001,3,1025,2,1189467,1229668,1251391,1299700,423364,422745,205048,179590,628411,602335,717867,766876,512820,587286,436149,519948,8282951,8228868,220160,221472,76073,95127,337383,336768,6262402,7075671,7201608,5581,6517,10149,10175,7658,8362,7197,7532
2001,4,1025,2,981721,1023460,1038056,1084798,311334,308079,181138,176332,492472,484412,631483,682069,450345,505736,382143,454160,8228711,8177601,146844,148335,78728,76506,295641,326253,6331825,7040156,7220946,4870,7179,10006,10955,7822,8190,9461,6729
2002,1,1025,2,1010168,952540,1060334,1016302,305952,305043,179829,160529,485781,465572,662170,618677,482340,458147,418642,401744,8171859,8210613,149527,150051,67812,79448,301984,307726,6505268,7191580,7134730,5217,7364,10761,10552,8359,8307,7638,9059
2002,2,1025,2,1100277,1073928,1152867,1142601,337807,339882,159857,183047,497664,522929,716245,702634,556388,519587,499422,458810,8214555,8221286,165716,165940,85328,67764,310409,353747,6422563,7204833,7081150,5045,6474,10523,10183,7676,8069,6941,7204
2002,3,1025,2,1091091,1137743,1148893,1204754,361486,365887,179244,160553,540730,526441,684681,735732,505437,575179,441335,517204,8220339,8159574,194558,193246,68876,84848,335913,340420,6353963,7120792,7207934,5545,6478,10178,10249,7626,8451,7132,7351
2002,4,1025,2,923232,950516,976370,1010210,276322,274344,160353,156454,436675,430799,609967,646377,449614,489922,388366,442359,8159924,8123659,135002,135201,71575,68569,298736,322444,6399029,7069136,7223732,4868,6942,10093,11043,7778,8194,9016,6671
